Structure;NOM1;NOM2;ADRESSE1;ADRESSE2;CP;VILLE;Longitude;Latitude;coordonnees_geoloc;coordonnees_ban;coordonnees_finales;Région
Opéra en région;Opéra National de Lyon;;1 place de la Comédie;;66203;LYON Cedex;4.837869;45.76813999999999;45.76813999999999,4.837869;;45.76814, 4.837869;Auvergne-Rhône-Alpes
Opéra en région;Opéra de Marseille;;2 rue Molière;;13001;MARSEILLE;5.375878000000001;43.293934999999976;43.293934999999976,5.375878000000001;43.293839, 5.376004;43.293935, 5.375878;Provence-Alpes-Côte d'Azur
Opéra en région;Angers-Nantes Opera (Ano);;1 rue Molière;;44000;NANTES;-1.561901;47.21400499999999;47.21400499999999,-1.561901;47.213652, -1.561991;47.214005, -1.561901;Pays de la Loire
Opéra en région;Opéra National du Rhin;;19 place de la Broglie;B.P. 320;67008;STRASBOURG;7.749568;48.58496000000001;48.58496000000001,7.749568;;48.58496, 7.749568;Grand Est
Opéra en région;Opéra de Rouen/Haute Normandie;;7 rue du Docteur Rambert;B.P. 1253;76177;ROUEN Cedex;1.089818;49.439491000000004;49.439491000000004,1.089818;;49.439491, 1.089818;Normandie
Opéra en région;Opéra de Tours;;34 rue de la Sellerie;;37000;TOURS;0.690005;47.394377999999996;47.394377999999996,0.690005;47.394422, 0.689971;47.394378, 0.690005;Centre-Val de Loire
Centre chorégraphique national;Centre chorégraphique national de Créteil et du Val-de-Marne;;Maison des Arts Place Salvador Allende;;94000;Créteil;2.4579109999999997;48.800463;48.800463,2.4579109999999997;;48.800463, 2.457911;Île-de-France
Centre chorégraphique national;Centre chorégraphique national à La Rochelle;;Chapelle Fromentin;14, rue du collège;17025;La Rochelle cedex 1;-1.17311;46.159895;46.159895,-1.17311;;46.159895, -1.17311;Nouvelle-Aquitaine
Centre chorégraphique national;Ballet national de Marseille;;20, bd de Gabès;;13417;Marseille Cedex 08;5.383504;43.265056;43.265056,5.383504;;43.265056, 5.383504;Provence-Alpes-Côte d'Azur
Centre chorégraphique national;Centre chorégraphique national de Montpellier Languedoc-Roussillon];;Les Ursulines;Boulevard Louis Blanc;34000;Montpellier;3.878514;43.613803;43.613803,3.878514;43.611024, 3.875521;43.613803, 3.878514;Occitanie
Centre chorégraphique national;Ballet de Lorraine;;3, rue Henri Bazin;;54010;Nancy cedex;6.1905149999999995;48.695758;48.695758,6.1905149999999995;;48.695758, 6.190515;Grand Est
Centre chorégraphique national;Centre chorégraphique national d' Orléans;;37, rue du Bourdon blanc;;45000;Orléans;1.9131499999999997;47.902204;47.902204,1.9131499999999997;47.902216, 1.91311;47.902204, 1.91315;Centre-Val de Loire
Centre chorégraphique national;Centre chorégraphique national de Rennes et de Bretagne;;38, rue Saint-Mélaine;;35060;Rennes Cedex 3;-1.6754649999999998;48.114799;48.114799,-1.6754649999999998;;48.114799, -1.675465;Bretagne
Orchestre Permanent;Orchestre Philharmonique de Strasbourg;;Place de Bordeaux-Wacken;Palais de la Musique et des Congrès;67076;Strasbourg Cedex;7.786679;48.622814;48.622814,7.786679;;48.622814, 7.786679;Grand Est
